,Proximal Tubule,Principal Cells,Thick Ascending Limb,Intercalated Cells Type A,Endothelial Cell,Distal Convoluted Tubule,Connecting Tubule,Mesangial Cells,Intercalated Cells Type B,Leukocyte
174,0.1648461,0.08051577,0.008111256,0.006917358,0.72440755,0.0029460832,0.0059863008,0.004354084,0.00092424895,0.0009913233
175,0.039938945,0.09661307,0.08964517,0.009626934,0.0040805945,0.07167149,0.24267147,0.0011223805,6.0172024e-05,0.4445698
176,0.3682893,0.35044745,0.006884035,0.09979047,0.07337195,0.035530925,0.01223084,0.029558424,0.017581522,0.006315038
177,0.7828362,0.112923905,0.014917765,0.035981737,0.0070049553,0.00036898564,0.007188501,0.036967803,0.00022158268,0.0015885158
178,0.2096917,0.28181008,0.34025666,0.0633334,0.0018261657,0.029150963,0.010570076,0.0617614,0.00064500794,0.0009548408
179,0.61303896,0.30603382,0.038321365,0.0062223487,0.003261006,0.017921515,0.00096152734,0.002386608,0.010871349,0.000981391
180,0.039809354,0.040004503,0.16347228,0.51316977,0.044070944,0.13123362,0.04770974,0.013677108,0.0047451733,0.0021073855
181,0.027464151,0.111067556,0.0026413957,0.28704995,0.26187018,0.0046566115,0.22049026,0.08157658,0.0030987249,8.4688894e-05
182,0.058980238,0.0020927677,0.010627363,0.87818766,0.001309499,0.04324504,0.0040271073,0.00060600165,0.00057619734,0.0003480433
183,0.30311275,0.37389255,0.0221718,0.29637986,0.0013233233,0.0007091777,0.00071184314,0.0011402951,0.00035271994,0.00020574513
184,0.55121124,0.24533671,0.004664358,0.15041815,0.012757702,0.0015631128,0.0036200588,0.008100104,0.00037813708,0.021950383
185,0.03086774,0.1301467,0.01050376,0.0076902537,0.3352112,0.242744,0.24071047,0.0019588948,0.00011875804,4.82673e-05
186,0.13249007,0.14414519,0.05028727,0.31526393,0.0017000407,0.0011623282,0.34913445,0.0050167353,0.00033810592,0.00046193268
